Store_Number,Store_Founded,Store_Type,Store_Size,Store_Location_Type,Item_Number,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Store_Sales_Value
STR049,1999,Supermarket,Medium,Tier 1,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,3735.138
STR018,2009,Convenience,Medium,Tier 3,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,443.4228
STR049,1999,Supermarket,Medium,Tier 1,FDN15,17.5,Low Fat,0.016760075,Meat,141.618,2097.27
STR010,1998,Grocery Store,Small,Tier 3,FDX07,19.2,Regular,0,Fruits and Vegetables,182.095,732.38
STR013,1987,Supermarket,High,Tier 3,NCD19,8.93,Low Fat,0,Household,53.8614,994.7052
STR018,2009,Convenience,Medium,Tier 3,FDP36,10.395,Regular,0.035399923,Baking Goods,51.4008,556.6088
STR013,1987,Supermarket,High,Tier 3,FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,343.5528
STR027,1985,Cold Storage,Medium,Tier 3,FDP10,,Low Fat,0.127469857,Snack Foods,107.7622,4022.7636
STR045,2002,Supermarket,Small,Tier 2,FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,1076.5986
STR017,2007,Supermarket,Small,Tier 2,FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,4710.535
STR049,1999,Supermarket,Medium,Tier 1,FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5402,1516.0266
STR046,1997,Supermarket,Small,Tier 1,FDA03,18.5,Regular,0.045463773,Dairy,144.1102,2187.153
STR049,1999,Supermarket,Medium,Tier 1,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,1589.2646
STR046,1997,Supermarket,Small,Tier 1,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,2145.2076
STR013,1987,Supermarket,High,Tier 3,FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,1977.426
STR046,1997,Supermarket,Small,Tier 1,FDP49,9,Regular,0.069088961,Breakfast,56.3614,1547.3192
STR018,2009,Convenience,Medium,Tier 3,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,1621.8888
STR049,1999,Supermarket,Medium,Tier 1,FDP49,9,Regular,0.069196376,Breakfast,54.3614,718.3982
STR027,1985,Cold Storage,Medium,Tier 3,DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,2303.668
STR035,2004,Supermarket,Small,Tier 2,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,2748.4224
STR013,1987,Supermarket,High,Tier 3,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,3775.086
STR027,1985,Cold Storage,Medium,Tier 3,FDW12,10.5,Regular,0.035399923,Baking Goods,144.5444,4064.0432
STR035,2004,Supermarket,Small,Tier 2,NCB30,14.6,Low Fat,0.025698134,Household,196.5084,1587.2672
STR019,1985,Grocery Store,Small,Tier 1,FDC37,10.5,Low Fat,0.057556998,Baking Goods,107.6938,214.3876
STR046,1997,Supermarket,Small,Tier 1,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,4078.025
STR017,2007,Supermarket,Small,Tier 2,NCD06,13,Low Fat,0.099887103,Household,45.906,838.908
STR035,2004,Supermarket,Small,Tier 2,FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,1065.28
STR013,1987,Supermarket,High,Tier 3,DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,308.9312
STR010,1998,Grocery Store,Small,Tier 3,FDE51,5.925,Regular,0.161466534,Dairy,45.5086,178.4344
STR019,1985,Grocery Store,Small,Tier 1,FDC14,,Regular,0.072221801,Canned,43.6454,125.8362
STR010,1998,Grocery Store,Small,Tier 3,FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,163.7868
STR018,2009,Convenience,Medium,Tier 3,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,2741.7644
STR018,2009,Convenience,Medium,Tier 3,FDP33,18.7,Low Fat,0,Snack Foods,256.6672,3068.0064
STR045,2002,Supermarket,Small,Tier 2,FDO23,17.85,Low Fat,0,Breads,93.1436,2174.5028
STR046,1997,Supermarket,Small,Tier 1,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,2085.2856
STR049,1999,Supermarket,Medium,Tier 1,NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7102,3791.0652
STR027,1985,Cold Storage,Medium,Tier 3,FDV20,,Regular,0.059511812,Fruits and Vegetables,128.0678,2797.6916
STR018,2009,Convenience,Medium,Tier 3,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,1609.9044
STR027,1985,Cold Storage,Medium,Tier 3,FDX10,,Regular,0.123111453,Snack Foods,36.9874,388.1614
STR027,1985,Cold Storage,Medium,Tier 3,FDB34,,Low Fat,0.026480954,Snack Foods,87.6198,2180.495
STR046,1997,Supermarket,Small,Tier 1,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,3435.528
STR013,1987,Supermarket,High,Tier 3,FDK43,9.8,Low Fat,0.02681843,Meat,126.002,2150.534
STR049,1999,Supermarket,Medium,Tier 1,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,2527.3768
STR018,2009,Convenience,Medium,Tier 3,FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,6768.5228
STR013,1987,Supermarket,High,Tier 3,FDL50,12.15,Regular,0.042277867,Canned,126.5046,373.5138
STR010,1998,Grocery Store,Small,Tier 3,FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,358.2004
STR045,2002,Supermarket,Small,Tier 2,NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,2428.8384
STR045,2002,Supermarket,Small,Tier 2,FDV49,10,Low Fat,0.025879577,Canned,265.2226,5815.0972
STR046,1997,Supermarket,Small,Tier 1,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,2576.646
STR019,1985,Grocery Store,Small,Tier 1,FDS02,,Regular,0.255394896,Dairy,196.8794,780.3176
STR046,1997,Supermarket,Small,Tier 1,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,3134.5864
STR013,1987,Supermarket,High,Tier 3,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,850.8924
STR013,1987,Supermarket,High,Tier 3,FDR13,9.895,Regular,0.028696932,Canned,117.0492,810.9444
STR017,2007,Supermarket,Small,Tier 2,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,3121.2704
STR017,2007,Supermarket,Small,Tier 2,NCP18,12.15,Low Fat,0.028760013,Household,151.4708,4815.0656
STR018,2009,Convenience,Medium,Tier 3,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,6258.52
STR045,2002,Supermarket,Small,Tier 2,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,2117.244
STR049,1999,Supermarket,Medium,Tier 1,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,796.9626
STR046,1997,Supermarket,Small,Tier 1,FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,4910.275
STR019,1985,Grocery Store,Small,Tier 1,FDI26,,Low Fat,0.061082177,Canned,180.0344,892.172
STR018,2009,Convenience,Medium,Tier 3,FDM20,10,Low Fat,0,Fruits and Vegetables,246.9144,3185.1872
STR045,2002,Supermarket,Small,Tier 2,FDV27,7.97,Regular,0.040071131,Meat,87.3514,1062.6168
STR027,1985,Cold Storage,Medium,Tier 3,FDF09,,Low Fat,0.012090074,Fruits and Vegetables,38.2848,484.7024
STR019,1985,Grocery Store,Small,Tier 1,FDY40,,Regular,0.15028599,Frozen Foods,51.0692,147.8076
STR027,1985,Cold Storage,Medium,Tier 3,FDY45,,Low Fat,0.026015519,Snack Foods,255.8356,2543.356
STR010,1998,Grocery Store,Small,Tier 3,FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,184.4266
STR035,2004,Supermarket,Small,Tier 2,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,4865.6664
STR045,2002,Supermarket,Small,Tier 2,FDZ03,13.65,Regular,0.078946455,Dairy,186.024,1118.544
STR045,2002,Supermarket,Small,Tier 2,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,2302.3364
STR046,1997,Supermarket,Small,Tier 1,NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,2027.361
STR046,1997,Supermarket,Small,Tier 1,FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,3435.528
STR013,1987,Supermarket,High,Tier 3,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,599.22
STR045,2002,Supermarket,Small,Tier 2,FDH35,18.25,Low Fat,0,Starchy Foods,164.7526,4604.6728
STR017,2007,Supermarket,Small,Tier 2,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,2285.0256
STR049,1999,Supermarket,Medium,Tier 1,NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,5580.7356
STR046,1997,Supermarket,Small,Tier 1,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,2290.352
STR049,1999,Supermarket,Medium,Tier 1,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,1207.0954
STR019,1985,Grocery Store,Small,Tier 1,FDN48,11.1,Low Fat,0.113720344,Baking Goods,89.9804,643.1628
STR017,2007,Supermarket,Small,Tier 2,FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,1587.933
STR045,2002,Supermarket,Small,Tier 2,FDV25,5.905,Low Fat,0,Canned,222.5456,5305.0944
STR046,1997,Supermarket,Small,Tier 1,FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,1697.79
STR046,1997,Supermarket,Small,Tier 1,FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,1427.4752
STR018,2009,Convenience,Medium,Tier 3,FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,4693.89
STR019,1985,Grocery Store,Small,Tier 1,NCL18,,Low Fat,0.293417759,Household,194.6136,583.2408
STR027,1985,Cold Storage,Medium,Tier 3,FDR12,11.1,Regular,0.031382044,Baking Goods,171.3764,3091.9752
STR017,2007,Supermarket,Small,Tier 2,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,2479.4392
STR035,2004,Supermarket,Small,Tier 2,FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,2716.464
STR027,1985,Cold Storage,Medium,Tier 3,FDQ49,,Regular,0.039057677,Breakfast,155.963,3285.723
STR046,1997,Supermarket,Small,Tier 1,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,661.8052
STR049,1999,Supermarket,Medium,Tier 1,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,1523.3504
STR010,1998,Grocery Store,Small,Tier 3,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,369.519
STR049,1999,Supermarket,Medium,Tier 1,DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,690.4346
STR045,2002,Supermarket,Small,Tier 2,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,1381.535
STR035,2004,Supermarket,Small,Tier 2,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,622.523
STR035,2004,Supermarket,Small,Tier 2,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,1274.3412
STR019,1985,Grocery Store,Small,Tier 1,FDU04,,Low Fat,0.009714595,Frozen Foods,120.0414,487.3656
STR049,1999,Supermarket,Medium,Tier 1,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,1231.73
STR035,2004,Supermarket,Small,Tier 2,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,3755.112
STR027,1985,Cold Storage,Medium,Tier 3,NCP18,,Low Fat,0.028459761,Household,149.9708,4363.6532
STR046,1997,Supermarket,Small,Tier 1,FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,1314.2892
STR045,2002,Supermarket,Small,Tier 2,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,1805.6496
STR027,1985,Cold Storage,Medium,Tier 3,FDD10,,Regular,0.045797829,Snack Foods,178.5344,2854.9504
STR049,1999,Supermarket,Medium,Tier 1,FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,3896.2616
STR013,1987,Supermarket,High,Tier 3,DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,667.7974
STR018,2009,Convenience,Medium,Tier 3,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,3185.853
STR013,1987,Supermarket,High,Tier 3,FDH14,17.1,Regular,0.0467696,Canned,141.1838,2247.7408
STR013,1987,Supermarket,High,Tier 3,FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,1794.331
STR045,2002,Supermarket,Small,Tier 2,FDG12,6.635,Regular,0.116576702,Baking Goods,121.3098,2530.7058
STR019,1985,Grocery Store,Small,Tier 1,DRE60,,Low Fat,0.278974075,Soft Drinks,225.372,679.116
STR013,1987,Supermarket,High,Tier 3,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,812.276
STR046,1997,Supermarket,Small,Tier 1,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,699.09
STR017,2007,Supermarket,Small,Tier 2,FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,2732.4432
STR019,1985,Grocery Store,Small,Tier 1,FDW39,,Regular,0.064625342,Meat,176.937,176.437
STR027,1985,Cold Storage,Medium,Tier 3,FDX34,,Low Fat,0.071636937,Snack Foods,121.7098,4097.3332
STR045,2002,Supermarket,Small,Tier 2,FDV11,9.1,Regular,0,Breads,173.2054,3151.8972
STR049,1999,Supermarket,Medium,Tier 1,FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,5942.265
STR017,2007,Supermarket,Small,Tier 2,FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,4843.695
STR035,2004,Supermarket,Small,Tier 2,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,2542.0244
STR017,2007,Supermarket,Small,Tier 2,DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,2552.6772
STR018,2009,Convenience,Medium,Tier 3,FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,1141.847
STR017,2007,Supermarket,Small,Tier 2,NCF19,13,Low Fat,0.035307322,Household,47.5034,680.4476
STR045,2002,Supermarket,Small,Tier 2,DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,2085.9514
STR010,1998,Grocery Store,Small,Tier 3,FDB14,20.25,Regular,0.171938781,Canned,92.512,186.424
